id,name,category,subcategory,rarity,professions,region,short_summary,icon
32548,Glowcap Ration,Consumable,Tonic,Rare,None,Greatwood,"Greatwood tonic consumable: kept for superstition, often a ritual prop.",consumable_glowcap_ration.png
32549,Roughspun Leaf,Ingredient,Herb,Common,Mining,Glimmerdeep,"Glimmerdeep herb ingredient: carried for long treks, often a map clue.",ingredient_roughspun_leaf.png
32550,Pine-sap Roster,Document,Ledger,Common,None,Saltmarrow,"Saltmarrow ledger document: kept for superstition, often a vendor staple.",document_pine_sap_roster.png
32551,Frostbit Bandage Roll,Consumable,Food,Common,Herbalism,Saltmarrow,"Saltmarrow food consumable: valued for its clean burn, often a salt-proofing aid.",consumable_frostbit_bandage_roll.png
32552,Mossy Cord,Curio,Mask,Common,None,Greatwood,"Greatwood mask curio: rings softly when shaken, often a camp utility.",curio_mossy_cord.png
32553,Faded Boots of the Trail,Gear,Cloth,Common,Alchemy,Frostbriar,"Frostbriar cloth gear: sought by apprentices, often a armor patching.",gear_faded_boots_of_the_trail.png
32554,Iron-banded Strap,Material,Fiber,Common,Enchanting,Greatwood,"Greatwood fiber material: smells faintly of cedar, often a trap component.",material_iron_banded_strap.png
32555,Silt-grit Stone,Curio,Game Piece,Rare,None,Emberford,"Emberford game piece curio: a staple in cold camps, often a trap component.",curio_silt_grit_stone.png
32556,Roughspun Biscuit,Consumable,Tea,Common,Blacksmithing,Frostbriar,"Frostbriar tea consumable: kept for superstition, often a vendor staple.",consumable_roughspun_biscuit.png
32557,Kelp-woven Plank,Material,Salt,Common,Alchemy,Emberford,"Emberford salt material: carried for long treks, often a alchemy base.",material_kelp_woven_plank.png
32558,Pine-sap Tally,Curio,Game Piece,Common,None,Emberford,"Emberford game piece curio: rings softly when shaken, often a ritual prop.",curio_pine_sap_tally.png
32559,Silt-grit Whistle,Curio,Sample Jar,Uncommon,None,Emberford,"Emberford sample jar curio: used in field repairs, often a armor patching.",curio_silt_grit_whistle.png
32560,Silt-grit Broth,Consumable,Oil,Common,Mining,Frostbriar,"Frostbriar oil consumable: traded at night markets, often a fishing bait.",consumable_silt_grit_broth.png
32561,Lanternlit Charm,Curio,Mask,Common,None,Saltmarrow,"Saltmarrow mask curio: smells faintly of cedar, often a buff ingredient.",curio_lanternlit_charm.png
32562,Silt-grit Bow of Frost,Gear,Staff,Rare,Blacksmithing,Glimmerdeep,"Glimmerdeep staff gear: used in field repairs, often a quest turn-in.",gear_silt_grit_bow_of_frost.png
32563,Salt-stained Pickle,Consumable,Oil,Uncommon,Cooking,Frostbriar,"Frostbriar oil consumable: recommended by old timers, often a alchemy base.",consumable_salt_stained_pickle.png
32564,Soot-black Cord,Curio,Game Piece,Common,None,Greatwood,"Greatwood game piece curio: a staple in cold camps, often a map clue.",curio_soot_black_cord.png
32565,Salt-stained Map Slip,Document,Map Fragment,Uncommon,None,Hollowroot,"Hollowroot map fragment document: packed for storms, often a quest turn-in.",document_salt_stained_map_slip.png
32566,Sturdy Tunic of Moss,Gear,Bow,Common,Enchanting,Saltmarrow,"Saltmarrow bow gear: rings softly when shaken, often a quest turn-in.",gear_sturdy_tunic_of_moss.png
32567,Pine-sap Seed,Ingredient,Grain,Common,Cooking,Glimmerdeep,"Glimmerdeep grain ingredient: kept for superstition, often a fishing bait.",ingredient_pine_sap_seed.png
32568,Harbor-wet Memo,Document,Permit,Uncommon,None,Emberford,"Emberford permit document: smells faintly of cedar, often a armor patching.",document_harbor_wet_memo.png
32569,Mossy Elixir,Consumable,Food,Common,Engineering,Emberford,"Emberford food consumable: smells faintly of cedar, often a fishing bait.",consumable_mossy_elixir.png
32570,Soot-black Permit,Document,Map Fragment,Uncommon,None,Greatwood,"Greatwood map fragment document: sought by apprentices, often a armor patching.",document_soot_black_permit.png
32571,Cedar-scented Biscuit,Consumable,Potion,Common,Alchemy,Saltmarrow,"Saltmarrow potion consumable: used in field repairs, often a alchemy base.",consumable_cedar_scented_biscuit.png
32572,Sturdy Map Slip,Document,Ledger,Uncommon,None,Greatwood,"Greatwood ledger document: favored by local scouts, often a vendor staple.",document_sturdy_map_slip.png
32573,Iron-banded Infusion,Consumable,Salve,Common,Engineering,Hollowroot,"Hollowroot salve consumable: smells faintly of cedar, often a quest turn-in.",consumable_iron_banded_infusion.png
32574,Glowcap Chit,Curio,Game Piece,Uncommon,None,Glimmerdeep,"Glimmerdeep game piece curio: a staple in cold camps, often a camp utility.",curio_glowcap_chit.png
32575,Salt-stained Buckler of the Trail,Gear,Ring,Common,Woodworking,Hollowroot,"Hollowroot ring gear: common among dockhands, often a map clue.",gear_salt_stained_buckler_of_the_trail.png
32576,Soot-black Figurine,Curio,Tooling,Common,None,Saltmarrow,"Saltmarrow tooling curio: rings softly when shaken, often a armor patching.",curio_soot_black_figurine.png
32577,Pine-sap Memo,Document,Map Fragment,Common,None,Emberford,"Emberford map fragment document: valued for its clean burn, often a salt-proofing aid.",document_pine_sap_memo.png
32578,Candle-smoke Gland,Ingredient,Insect,Common,Cooking,Emberford,"Emberford insect ingredient: used in field repairs, often a map clue.",ingredient_candle_smoke_gland.png
32579,Harbor-wet Dagger of the Wharf,Gear,Axe,Common,Fishing,Greatwood,"Greatwood axe gear: used in field repairs, often a salt-proofing aid.",gear_harbor_wet_dagger_of_the_wharf.png
32580,Mossy Pickle,Consumable,Bandage,Common,Woodworking,Greatwood,"Greatwood bandage consumable: valued for its clean burn, often a camp utility.",consumable_mossy_pickle.png
32581,Sturdy Husk,Material,Cloth,Rare,Fishing,Emberford,"Emberford cloth material: stains fingers dark, often a trap component.",material_sturdy_husk.png
32582,River-smooth Handaxe of Ember,Gear,Ring,Uncommon,Engineering,Greatwood,"Greatwood ring gear: valued for its clean burn, often a vendor staple.",gear_river_smooth_handaxe_of_ember.png
32583,Harbor-wet Lens,Curio,Sample Jar,Uncommon,None,Hollowroot,"Hollowroot sample jar curio: kept for superstition, often a vendor staple.",curio_harbor_wet_lens.png
32584,Candle-smoke Dagger of Frost,Gear,Mace,Common,Cooking,Glimmerdeep,"Glimmerdeep mace gear: common among dockhands, often a fishing bait.",gear_candle_smoke_dagger_of_frost.png
32585,Brine-cured Root,Ingredient,Fruit,Common,None,Emberford,"Emberford fruit ingredient: packed for storms, often a camp utility.",ingredient_brine_cured_root.png
32586,Kelp-woven Gland,Ingredient,Tea Leaf,Uncommon,Skinning,Hollowroot,"Hollowroot tea leaf ingredient: sought by apprentices, often a salt-proofing aid.",ingredient_kelp_woven_gland.png
32587,Roughspun Tunic of Brine,Gear,Ring,Rare,Skinning,Hollowroot,"Hollowroot ring gear: carried for long treks, often a map clue.",gear_roughspun_tunic_of_brine.png
32588,Mossy Sprig,Ingredient,Fruit,Common,Enchanting,Glimmerdeep,"Glimmerdeep fruit ingredient: traded at night markets, often a salt-proofing aid.",ingredient_mossy_sprig.png
32589,Candle-smoke Cap,Ingredient,Insect,Uncommon,Herbalism,Glimmerdeep,"Glimmerdeep insect ingredient: carried for long treks, often a salt-proofing aid.",ingredient_candle_smoke_cap.png
32590,Soot-black Page,Document,Field Notes,Common,None,Saltmarrow,"Saltmarrow field notes document: valued for its clean burn, often a quest turn-in.",document_soot_black_page.png
32591,Windworn Stew,Consumable,Food,Common,Fishing,Saltmarrow,"Saltmarrow food consumable: used in field repairs, often a map clue.",consumable_windworn_stew.png
32592,Roughspun Poultice,Consumable,Salve,Common,Herbalism,Saltmarrow,"Saltmarrow salve consumable: carried for long treks, often a fishing bait.",consumable_roughspun_poultice.png
32593,Briarbound Receipt,Document,Ledger,Rare,None,Greatwood,"Greatwood ledger document: valued for its clean burn, often a map clue.",document_briarbound_receipt.png
32594,Roughspun Cloak of Moss,Gear,Leather,Rare,Blacksmithing,Frostbriar,"Frostbriar leather gear: packed for storms, often a ritual prop.",gear_roughspun_cloak_of_moss.png
32595,Harbor-wet Cap,Ingredient,Meat,Uncommon,Cooking,Greatwood,"Greatwood meat ingredient: packed for storms, often a buff ingredient.",ingredient_harbor_wet_cap.png
32596,Soot-black Scribble,Document,Map Fragment,Uncommon,None,Saltmarrow,"Saltmarrow map fragment document: stains fingers dark, often a buff ingredient.",document_soot_black_scribble.png
32597,Cedar-scented Bud,Ingredient,Herb,Common,Cooking,Frostbriar,"Frostbriar herb ingredient: sought by apprentices, often a armor patching.",ingredient_cedar_scented_bud.png
32598,Tin-chimed Belt of the Trail,Gear,Plate,Uncommon,Cooking,Hollowroot,"Hollowroot plate gear: sought by apprentices, often a vendor staple.",gear_tin_chimed_belt_of_the_trail.png
32599,Mossy Berry,Ingredient,Tea Leaf,Rare,Engineering,Hollowroot,"Hollowroot tea leaf ingredient: used in field repairs, often a crafting reagent.",ingredient_mossy_berry.png
32600,Briarbound Scale,Ingredient,Mushroom,Uncommon,Woodworking,Hollowroot,"Hollowroot mushroom ingredient: used in field repairs, often a crafting reagent.",ingredient_briarbound_scale.png
32601,Lanternlit Token,Curio,Tooling,Common,None,Greatwood,"Greatwood tooling curio: stains fingers dark, often a quest turn-in.",curio_lanternlit_token.png
32602,Mossy Pellet,Consumable,Salve,Common,Skinning,Frostbriar,"Frostbriar salve consumable: favored by local scouts, often a salt-proofing aid.",consumable_mossy_pellet.png
32603,Roughspun Draft,Consumable,Bandage,Common,Blacksmithing,Glimmerdeep,"Glimmerdeep bandage consumable: rings softly when shaken, often a vendor staple.",consumable_roughspun_draft.png
32604,Mire-touched Ring of Moss,Gear,Necklace,Common,Skinning,Glimmerdeep,"Glimmerdeep necklace gear: rings softly when shaken, often a salt-proofing aid.",gear_mire_touched_ring_of_moss.png
32605,Ash-dusted Biscuit,Consumable,Tea,Uncommon,Alchemy,Greatwood,"Greatwood tea consumable: stains fingers dark, often a vendor staple.",consumable_ash_dusted_biscuit.png
32606,River-smooth Resin,Material,Hide,Rare,Mining,Hollowroot,"Hollowroot hide material: rings softly when shaken, often a salt-proofing aid.",material_river_smooth_resin.png
32607,Faded Gloves of Silt,Gear,Staff,Common,Fishing,Saltmarrow,"Saltmarrow staff gear: valued for its clean burn, often a alchemy base.",gear_faded_gloves_of_silt.png
32608,Harbor-wet Cloak,Gear,Shield,Common,Herbalism,Hollowroot,"Hollowroot shield gear: favored by local scouts, often a buff ingredient.",gear_harbor_wet_cloak.png
32609,Soot-black Syrup,Consumable,Tea,Common,Herbalism,Saltmarrow,"Saltmarrow tea consumable: common among dockhands, often a trap component.",consumable_soot_black_syrup.png
32610,River-smooth Strap,Material,Stone,Rare,Mining,Glimmerdeep,"Glimmerdeep stone material: sought by apprentices, often a armor patching.",material_river_smooth_strap.png
32611,Faded Bark,Ingredient,Sap,Rare,Herbalism,Emberford,"Emberford sap ingredient: sought by apprentices, often a ritual prop.",ingredient_faded_bark.png
32612,Ash-dusted Tally,Curio,Charm,Uncommon,None,Emberford,"Emberford charm curio: valued for its clean burn, often a map clue.",curio_ash_dusted_tally.png
32613,Silt-grit Chew,Consumable,Food,Common,Mining,Frostbriar,"Frostbriar food consumable: traded at night markets, often a salt-proofing aid.",consumable_silt_grit_chew.png
32614,River-smooth Broth,Consumable,Bandage,Common,Mining,Frostbriar,"Frostbriar bandage consumable: used in field repairs, often a armor patching.",consumable_river_smooth_broth.png
32615,Roughspun Nail,Material,Hide,Common,Woodworking,Frostbriar,"Frostbriar hide material: kept for superstition, often a alchemy base.",material_roughspun_nail.png
32616,Windworn Berry,Ingredient,Meat,Rare,Woodworking,Frostbriar,"Frostbriar meat ingredient: sought by apprentices, often a armor patching.",ingredient_windworn_berry.png
32617,Roughspun Grit,Ingredient,Mushroom,Common,None,Hollowroot,"Hollowroot mushroom ingredient: traded at night markets, often a vendor staple.",ingredient_roughspun_grit.png
32618,Salt-stained Tonic,Consumable,Oil,Uncommon,Enchanting,Greatwood,"Greatwood oil consumable: valued for its clean burn, often a armor patching.",consumable_salt_stained_tonic.png
32619,Iron-banded Gland,Ingredient,Tea Leaf,Uncommon,Enchanting,Saltmarrow,"Saltmarrow tea leaf ingredient: packed for storms, often a fishing bait.",ingredient_iron_banded_gland.png
32620,Frostbit Needle,Ingredient,Herb,Common,Alchemy,Frostbriar,"Frostbriar herb ingredient: packed for storms, often a salt-proofing aid.",ingredient_frostbit_needle.png
32621,Salt-stained Page,Document,Map Fragment,Rare,None,Emberford,"Emberford map fragment document: stains fingers dark, often a vendor staple.",document_salt_stained_page.png
32622,Windworn Stamen,Ingredient,Fruit,Rare,Fishing,Glimmerdeep,"Glimmerdeep fruit ingredient: common among dockhands, often a ritual prop.",ingredient_windworn_stamen.png
32623,Briarbound Draft,Consumable,Salve,Common,Enchanting,Frostbriar,"Frostbriar salve consumable: valued for its clean burn, often a armor patching.",consumable_briarbound_draft.png
32624,Salt-stained Figurine,Curio,Mask,Common,None,Frostbriar,"Frostbriar mask curio: sought by apprentices, often a ritual prop.",curio_salt_stained_figurine.png
32625,Frostbit Belt of the Mire,Gear,Cloth,Uncommon,Fishing,Hollowroot,"Hollowroot cloth gear: sought by apprentices, often a armor patching.",gear_frostbit_belt_of_the_mire.png
32626,Faded Knot,Curio,Keepsake,Common,None,Saltmarrow,"Saltmarrow keepsake curio: common among dockhands, often a quest turn-in.",curio_faded_knot.png
32627,Ash-dusted Receipt,Document,Ledger,Common,None,Glimmerdeep,"Glimmerdeep ledger document: recommended by old timers, often a armor patching.",document_ash_dusted_receipt.png
32628,Pine-sap Knot,Curio,Charm,Common,None,Greatwood,"Greatwood charm curio: carried for long treks, often a vendor staple.",curio_pine_sap_knot.png
32629,Mire-touched Shortsword,Gear,Trinket,Uncommon,Enchanting,Hollowroot,"Hollowroot trinket gear: packed for storms, often a trap component.",gear_mire_touched_shortsword.png
32630,Mossy Bandage Roll,Consumable,Oil,Common,Fishing,Saltmarrow,"Saltmarrow oil consumable: carried for long treks, often a alchemy base.",consumable_mossy_bandage_roll.png
32631,Glowcap Scribble,Document,Letter,Common,None,Hollowroot,"Hollowroot letter document: sought by apprentices, often a camp utility.",document_glowcap_scribble.png
32632,Briarbound Leaf,Ingredient,Sap,Rare,Mining,Greatwood,"Greatwood sap ingredient: rings softly when shaken, often a quest turn-in.",ingredient_briarbound_leaf.png
32633,Faded Gland,Ingredient,Fruit,Rare,Cooking,Saltmarrow,"Saltmarrow fruit ingredient: favored by local scouts, often a buff ingredient.",ingredient_faded_gland.png
32634,Iron-banded Chew,Consumable,Potion,Common,Blacksmithing,Glimmerdeep,"Glimmerdeep potion consumable: common among dockhands, often a salt-proofing aid.",consumable_iron_banded_chew.png
32635,Briarbound Token,Curio,Tooling,Common,None,Greatwood,"Greatwood tooling curio: sought by apprentices, often a vendor staple.",curio_briarbound_token.png
32636,Silt-grit Map Slip,Document,Field Notes,Common,None,Greatwood,"Greatwood field notes document: sought by apprentices, often a quest turn-in.",document_silt_grit_map_slip.png
32637,Windworn Whistle,Curio,Sample Jar,Common,None,Greatwood,"Greatwood sample jar curio: valued for its clean burn, often a alchemy base.",curio_windworn_whistle.png
32638,Soot-black Bill,Document,Letter,Rare,None,Emberford,"Emberford letter document: recommended by old timers, often a salt-proofing aid.",document_soot_black_bill.png
32639,Candle-smoke Paste,Material,Resin,Common,Woodworking,Greatwood,"Greatwood resin material: packed for storms, often a trap component.",material_candle_smoke_paste.png
32640,Pine-sap Whistle,Curio,Mask,Common,None,Hollowroot,"Hollowroot mask curio: kept for superstition, often a camp utility.",curio_pine_sap_whistle.png
32641,Soot-black Poultice,Consumable,Potion,Common,Fishing,Glimmerdeep,"Glimmerdeep potion consumable: recommended by old timers, often a armor patching.",consumable_soot_black_poultice.png
32642,Lanternlit Wire,Material,Glass,Common,Herbalism,Hollowroot,"Hollowroot glass material: traded at night markets, often a crafting reagent.",material_lanternlit_wire.png
32643,Ash-dusted Poultice,Consumable,Tonic,Rare,Mining,Emberford,"Emberford tonic consumable: a staple in cold camps, often a fishing bait.",consumable_ash_dusted_poultice.png
32644,Silt-grit Map Slip,Document,Ledger,Uncommon,None,Greatwood,"Greatwood ledger document: traded at night markets, often a crafting reagent.",document_silt_grit_map_slip.png
32645,Pine-sap Knot,Ingredient,Fish,Common,Engineering,Emberford,"Emberford fish ingredient: smells faintly of cedar, often a alchemy base.",ingredient_pine_sap_knot.png
32646,Briarbound Lens,Curio,Token,Rare,None,Glimmerdeep,"Glimmerdeep token curio: packed for storms, often a quest turn-in.",curio_briarbound_lens.png
32647,Ash-dusted Stamp,Curio,Game Piece,Common,None,Frostbriar,"Frostbriar game piece curio: rings softly when shaken, often a quest turn-in.",curio_ash_dusted_stamp.png
32648,Tin-chimed Spore,Ingredient,Root,Common,Enchanting,Glimmerdeep,"Glimmerdeep root ingredient: rings softly when shaken, often a buff ingredient.",ingredient_tin_chimed_spore.png
32649,Faded Syrup,Consumable,Oil,Common,Blacksmithing,Emberford,"Emberford oil consumable: common among dockhands, often a armor patching.",consumable_faded_syrup.png
32650,Pine-sap Voucher,Document,Permit,Uncommon,None,Emberford,"Emberford permit document: common among dockhands, often a fishing bait.",document_pine_sap_voucher.png
32651,Soot-black Resin,Material,Resin,Uncommon,Fishing,Glimmerdeep,"Glimmerdeep resin material: used in field repairs, often a ritual prop.",material_soot_black_resin.png
32652,Brine-cured Chit,Curio,Mask,Common,None,Saltmarrow,"Saltmarrow mask curio: recommended by old timers, often a map clue.",curio_brine_cured_chit.png
32653,Windworn Petal,Ingredient,Herb,Uncommon,Mining,Glimmerdeep,"Glimmerdeep herb ingredient: carried for long treks, often a vendor staple.",ingredient_windworn_petal.png
32654,Briarbound Bill,Document,Ledger,Common,None,Frostbriar,"Frostbriar ledger document: favored by local scouts, often a ritual prop.",document_briarbound_bill.png
32655,Kelp-woven Biscuit,Consumable,Food,Common,Fishing,Greatwood,"Greatwood food consumable: smells faintly of cedar, often a crafting reagent.",consumable_kelp_woven_biscuit.png
32656,Ash-dusted Biscuit,Consumable,Bandage,Common,Enchanting,Saltmarrow,"Saltmarrow bandage consumable: stains fingers dark, often a crafting reagent.",consumable_ash_dusted_biscuit.png
32657,Briarbound Tally,Curio,Charm,Common,None,Saltmarrow,"Saltmarrow charm curio: packed for storms, often a alchemy base.",curio_briarbound_tally.png
32658,Faded Stamen,Ingredient,Insect,Common,Blacksmithing,Greatwood,"Greatwood insect ingredient: used in field repairs, often a quest turn-in.",ingredient_faded_stamen.png
32659,River-smooth Grit,Ingredient,Mushroom,Common,Enchanting,Glimmerdeep,"Glimmerdeep mushroom ingredient: smells faintly of cedar, often a map clue.",ingredient_river_smooth_grit.png
32660,Mossy Charm of Silt,Gear,Cloth,Uncommon,Herbalism,Frostbriar,"Frostbriar cloth gear: recommended by old timers, often a vendor staple.",gear_mossy_charm_of_silt.png
32661,Cedar-scented Mace of Brine,Gear,Shield,Uncommon,Cooking,Glimmerdeep,"Glimmerdeep shield gear: common among dockhands, often a buff ingredient.",gear_cedar_scented_mace_of_brine.png
32662,Cedar-scented Bow of Ember,Gear,Necklace,Common,Cooking,Emberford,"Emberford necklace gear: packed for storms, often a trap component.",gear_cedar_scented_bow_of_ember.png
32663,Candle-smoke Stew,Consumable,Potion,Rare,Mining,Glimmerdeep,"Glimmerdeep potion consumable: smells faintly of cedar, often a buff ingredient.",consumable_candle_smoke_stew.png
32664,Kelp-woven Stew,Consumable,Tea,Uncommon,Engineering,Saltmarrow,"Saltmarrow tea consumable: favored by local scouts, often a camp utility.",consumable_kelp_woven_stew.png
32665,Lanternlit Root,Ingredient,Sap,Common,Engineering,Emberford,"Emberford sap ingredient: carried for long treks, often a quest turn-in.",ingredient_lanternlit_root.png
32666,Mossy Pendant of Frost,Gear,Leather,Common,Herbalism,Emberford,"Emberford leather gear: a staple in cold camps, often a crafting reagent.",gear_mossy_pendant_of_frost.png
32667,Ash-dusted Cord,Curio,Sample Jar,Common,None,Hollowroot,"Hollowroot sample jar curio: smells faintly of cedar, often a buff ingredient.",curio_ash_dusted_cord.png
32668,Mossy Mace of Brine,Gear,Axe,Uncommon,Mining,Frostbriar,"Frostbriar axe gear: used in field repairs, often a salt-proofing aid.",gear_mossy_mace_of_brine.png
32669,Soot-black Plate,Material,Hide,Uncommon,Cooking,Greatwood,"Greatwood hide material: favored by local scouts, often a map clue.",material_soot_black_plate.png
32670,Soot-black Warrant,Document,Field Notes,Common,None,Hollowroot,"Hollowroot field notes document: valued for its clean burn, often a crafting reagent.",document_soot_black_warrant.png
32671,Lanternlit Tunic of the Mire,Gear,Ring,Common,Mining,Frostbriar,"Frostbriar ring gear: traded at night markets, often a fishing bait.",gear_lanternlit_tunic_of_the_mire.png
32672,Ash-dusted Draft,Consumable,Oil,Common,None,Greatwood,"Greatwood oil consumable: traded at night markets, often a trap component.",consumable_ash_dusted_draft.png
32673,Soot-black Rind,Ingredient,Sap,Common,Cooking,Emberford,"Emberford sap ingredient: traded at night markets, often a camp utility.",ingredient_soot_black_rind.png
32674,Iron-banded Receipt,Document,Map Fragment,Rare,None,Greatwood,"Greatwood map fragment document: a staple in cold camps, often a ritual prop.",document_iron_banded_receipt.png
32675,Tin-chimed Petal,Ingredient,Spice,Uncommon,Mining,Emberford,"Emberford spice ingredient: common among dockhands, often a quest turn-in.",ingredient_tin_chimed_petal.png
32676,Brine-cured Biscuit,Consumable,Tonic,Common,Herbalism,Emberford,"Emberford tonic consumable: smells faintly of cedar, often a trap component.",consumable_brine_cured_biscuit.png
32677,Candle-smoke Voucher,Document,Permit,Rare,None,Greatwood,"Greatwood permit document: stains fingers dark, often a vendor staple.",document_candle_smoke_voucher.png
32678,Silt-grit Page,Document,Ledger,Uncommon,None,Frostbriar,"Frostbriar ledger document: favored by local scouts, often a quest turn-in.",document_silt_grit_page.png
32679,Worn Page,Document,Ledger,Common,None,Emberford,"Emberford ledger document: traded at night markets, often a armor patching.",document_worn_page.png
32680,River-smooth Cloak of the Mire,Gear,Ring,Common,Engineering,Emberford,"Emberford ring gear: stains fingers dark, often a armor patching.",gear_river_smooth_cloak_of_the_mire.png
32681,Sturdy Tally,Curio,Tooling,Uncommon,None,Hollowroot,"Hollowroot tooling curio: used in field repairs, often a alchemy base.",curio_sturdy_tally.png
32682,Sturdy Warrant,Document,Letter,Uncommon,None,Emberford,"Emberford letter document: stains fingers dark, often a fishing bait.",document_sturdy_warrant.png
32683,Worn Knot,Curio,Game Piece,Rare,None,Greatwood,"Greatwood game piece curio: stains fingers dark, often a salt-proofing aid.",curio_worn_knot.png
32684,Cedar-scented Memo,Document,Field Notes,Uncommon,None,Greatwood,"Greatwood field notes document: sought by apprentices, often a fishing bait.",document_cedar_scented_memo.png
32685,Windworn Patch,Material,Fiber,Common,Woodworking,Saltmarrow,"Saltmarrow fiber material: rings softly when shaken, often a vendor staple.",material_windworn_patch.png
32686,Frostbit Shield of Frost,Gear,Bow,Common,Woodworking,Emberford,"Emberford bow gear: sought by apprentices, often a armor patching.",gear_frostbit_shield_of_frost.png
32687,Tin-chimed Token,Curio,Charm,Common,None,Glimmerdeep,"Glimmerdeep charm curio: a staple in cold camps, often a trap component.",curio_tin_chimed_token.png
32688,Ash-dusted Bud,Ingredient,Root,Common,Mining,Emberford,"Emberford root ingredient: used in field repairs, often a ritual prop.",ingredient_ash_dusted_bud.png
32689,Roughspun Rivet,Material,Cloth,Common,Woodworking,Saltmarrow,"Saltmarrow cloth material: traded at night markets, often a fishing bait.",material_roughspun_rivet.png
32690,Tin-chimed Dispatch,Document,Map Fragment,Common,None,Hollowroot,"Hollowroot map fragment document: carried for long treks, often a salt-proofing aid.",document_tin_chimed_dispatch.png
32691,Tin-chimed Root,Ingredient,Mushroom,Common,Mining,Hollowroot,"Hollowroot mushroom ingredient: sought by apprentices, often a crafting reagent.",ingredient_tin_chimed_root.png
32692,Sturdy Tally,Curio,Token,Common,None,Greatwood,"Greatwood token curio: recommended by old timers, often a alchemy base.",curio_sturdy_tally.png
32693,Mire-touched Wire,Material,Resin,Common,Enchanting,Hollowroot,"Hollowroot resin material: a staple in cold camps, often a map clue.",material_mire_touched_wire.png
32694,River-smooth Staff of Ember,Gear,Sword,Common,Enchanting,Hollowroot,"Hollowroot sword gear: recommended by old timers, often a trap component.",gear_river_smooth_staff_of_ember.png
32695,Pine-sap Cap,Ingredient,Herb,Uncommon,Mining,Hollowroot,"Hollowroot herb ingredient: favored by local scouts, often a camp utility.",ingredient_pine_sap_cap.png
32696,Glowcap Paste,Material,Ore,Common,Alchemy,Frostbriar,"Frostbriar ore material: valued for its clean burn, often a salt-proofing aid.",material_glowcap_paste.png
32697,Pine-sap Broth,Consumable,Tea,Common,Fishing,Greatwood,"Greatwood tea consumable: stains fingers dark, often a fishing bait.",consumable_pine_sap_broth.png
32698,Faded Petal,Ingredient,Tea Leaf,Common,Engineering,Hollowroot,"Hollowroot tea leaf ingredient: recommended by old timers, often a ritual prop.",ingredient_faded_petal.png
32699,Pine-sap Cowl of the Wharf,Gear,Plate,Uncommon,Cooking,Frostbriar,"Frostbriar plate gear: traded at night markets, often a map clue.",gear_pine_sap_cowl_of_the_wharf.png
32700,Mire-touched Handaxe of Brine,Gear,Ring,Common,Cooking,Emberford,"Emberford ring gear: carried for long treks, often a crafting reagent.",gear_mire_touched_handaxe_of_brine.png
32701,Briarbound Receipt,Document,Ledger,Uncommon,None,Frostbriar,"Frostbriar ledger document: packed for storms, often a crafting reagent.",document_briarbound_receipt.png
32702,Briarbound Gland,Ingredient,Mushroom,Common,Engineering,Emberford,"Emberford mushroom ingredient: smells faintly of cedar, often a quest turn-in.",ingredient_briarbound_gland.png
32703,Frostbit Memo,Document,Map Fragment,Common,None,Greatwood,"Greatwood map fragment document: used in field repairs, often a buff ingredient.",document_frostbit_memo.png
32704,Ash-dusted Shield,Gear,Trinket,Rare,Fishing,Emberford,"Emberford trinket gear: common among dockhands, often a alchemy base.",gear_ash_dusted_shield.png
32705,Kelp-woven Gland,Ingredient,Fruit,Common,Blacksmithing,Saltmarrow,"Saltmarrow fruit ingredient: smells faintly of cedar, often a alchemy base.",ingredient_kelp_woven_gland.png
32706,Frostbit Ring of Moss,Gear,Cloth,Common,None,Saltmarrow,"Saltmarrow cloth gear: smells faintly of cedar, often a vendor staple.",gear_frostbit_ring_of_moss.png
32707,Mossy Cord,Curio,Game Piece,Uncommon,None,Greatwood,"Greatwood game piece curio: rings softly when shaken, often a fishing bait.",curio_mossy_cord.png
32708,Kelp-woven Lens,Curio,Token,Common,None,Saltmarrow,"Saltmarrow token curio: valued for its clean burn, often a quest turn-in.",curio_kelp_woven_lens.png
32709,Kelp-woven Rivet,Material,Fiber,Common,Engineering,Glimmerdeep,"Glimmerdeep fiber material: sought by apprentices, often a fishing bait.",material_kelp_woven_rivet.png
32710,Salt-stained Pauldrons of the Wharf,Gear,Mace,Common,Alchemy,Glimmerdeep,"Glimmerdeep mace gear: used in field repairs, often a quest turn-in.",gear_salt_stained_pauldrons_of_the_wharf.png
32711,Salt-stained Stone,Curio,Sample Jar,Uncommon,None,Hollowroot,"Hollowroot sample jar curio: packed for storms, often a fishing bait.",curio_salt_stained_stone.png
32712,Silt-grit Pin,Curio,Tooling,Common,None,Hollowroot,"Hollowroot tooling curio: packed for storms, often a vendor staple.",curio_silt_grit_pin.png
32713,Salt-stained Page,Document,Map Fragment,Common,None,Frostbriar,"Frostbriar map fragment document: traded at night markets, often a vendor staple.",document_salt_stained_page.png
32714,Soot-black Stew,Consumable,Potion,Uncommon,Mining,Frostbriar,"Frostbriar potion consumable: valued for its clean burn, often a camp utility.",consumable_soot_black_stew.png
32715,Kelp-woven Pickle,Consumable,Potion,Common,Blacksmithing,Frostbriar,"Frostbriar potion consumable: kept for superstition, often a map clue.",consumable_kelp_woven_pickle.png
32716,Salt-stained Page,Document,Field Notes,Uncommon,None,Glimmerdeep,"Glimmerdeep field notes document: kept for superstition, often a buff ingredient.",document_salt_stained_page.png
